data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -13.7108 	 -10.4035
-28.8574 	 -42.5230 	  22.9320 	 -7.9999
 3.5308 	  28.4585 	 -7.4560 	 -6.3661
-94.3414 	  23.5932 	 -12.4281 	  4.8314
 124.9137 	 -20.3398 	 -45.7238 	 -19.7445
-98.7698 	  24.8511 	  18.7863 	  5.1926
-125.8390 	  44.6222 	  8.0609 	 -1.8854
 140.1430 	 -16.7669 	 -30.3620 	 -19.3400
 134.1592 	  49.7440 	 -43.2911 	 -16.6186
 133.9626 	 -28.7194 	 -11.8304 	 -17.6296
 114.0722 	 -36.2766 	 -14.3729 	 -17.8969
 92.1385 	 -25.3368 	 -25.7990 	 -15.4472
-21.8166 	 -26.7112 	 -3.6096 	 -7.0575
-64.9271 	 -57.8266 	 -6.5283 	 -7.7240
-161.5729 	  54.6252 	  2.1954 	 -8.6256
 174.4627 	 -56.1555 	 -20.2920 	 -12.1021
-98.9753 	 -41.3746 	  22.0490 	 -0.9261
-99.3069 	 -40.9014 	 -33.0366 	 -0.7741
 120.0257 	 -19.5089 	 -33.9010 	 -19.9107
 122.2786 	 -23.1812 	 -26.3561 	 -19.0783
-85.6885 	 -27.3195 	  56.5266 	  1.8187
 114.4161 	 -18.4214 	 -25.2485 	 -19.8408
 123.7485 	 -50.1750 	 -7.4370 	 -17.1644
 110.9649 	 -28.3522 	 -3.3150 	 -18.1002
-11.2816 	  51.3746 	 -18.6298 	 -10.1244
 35.9711 	 -29.8554 	  14.2320 	 -7.0171
 108.7632 	 -41.4245 	 -14.0404 	 -17.6468
 161.1387 	  42.8795 	 -1.2250 	 -13.0623
 123.0933 	 -45.4387 	  1.1807 	 -17.4025
 148.8953 	 -29.7454 	  49.0905 	 -15.2060
 2.7540 	  50.2640 	 -16.1851 	 -10.6463
 63.6699 	 -29.0700 	 -37.4119 	 -10.3744
 91.4892 	  47.9536 	 -23.1500 	 -16.7446
 100.2997 	  53.4783 	 -30.8740 	 -17.1557
 11.2091 	  54.6321 	 -38.8739 	 -11.7306
 98.2694 	  40.3757 	 -32.5310 	 -17.0579
 133.2357 	  42.4028 	 -27.9106 	 -16.9445
-72.5440 	  22.9475 	 -34.7024 	 -0.3940
 83.0986 	 -45.4667 	 -4.8182 	 -16.0073
-179.1629 	 -59.4902 	 -10.1959 	 -11.6816
 10.3922 	  11.1635 	  12.0509 	  2.3734
 14.8922 	  50.1217 	 -3.1610 	 -11.2257
 60.3421 	  42.9393 	 -11.2420 	 -13.3409
 107.3184 	 -45.3258 	 -3.3680 	 -17.5309
 123.9075 	 -37.4378 	 -4.7961 	 -17.6999
 138.2789 	  31.0327 	 -13.9878 	 -16.8843
-160.5093 	  33.1462 	 -8.1540 	 -2.3158
 179.7861 	  51.7091 	 -9.9973 	 -10.7651
-159.9165 	  53.2069 	 -29.7110 	 -8.0778
-113.4989 	  40.7487 	 -20.5328 	 -0.1443
-107.7237 	  49.8783 	 -8.4970 	 -3.5014
 120.5556 	  58.0478 	 -23.2359 	 -16.9120
 84.5149 	  42.1886 	 -12.7570 	 -15.8973
 40.5381 	 -40.9564 	  5.3022 	 -10.9330
 47.4732 	 -44.8152 	 -13.5080 	 -12.4172
-155.0729 	 -41.7563 	 -16.9180 	 -4.1395
-102.0378 	 -28.5693 	 -3.7490 	  4.0612
-73.6316 	 -27.1584 	  7.3928 	 -0.6953
-51.4086 	  52.1613 	 -21.2860 	 -7.6420
-9.6269 	 -32.6008 	  11.7410 	 -7.4540
-86.8105 	  33.0796 	  3.8800 	  0.3737
 33.8982 	  49.4575 	 -16.6986 	 -12.2375
-1.2673 	 -31.0031 	 -16.4610 	 -7.0695
-14.1021 	 -58.3672 	 -12.5887 	 -10.8980
 106.6723 	 -34.6585 	 -8.6339 	 -17.5520
 117.0873 	 -31.5443 	  3.2588 	 -18.0892
-98.7840 	 -40.9268 	 -5.4386 	 -0.8174
-4.8208 	 -50.8646 	  2.6420 	 -10.3724
 4.5093 	 -48.4647 	 -7.1990 	 -10.4393
-46.7076 	 -44.8373 	  0.6250 	 -6.9290
 121.2326 	 -25.4243 	 -11.2930 	 -18.7667
 122.7965 	 -27.2596 	 -21.3354 	 -18.5005
 128.7826 	 -23.9549 	 -14.9762 	 -18.7646
 138.7027 	 -29.6442 	 -7.7440 	 -17.0173
 143.9810 	  28.0176 	 -17.0172 	 -16.3109
-121.4729 	  42.7859 	  15.0220 	 -1.0261
-130.9152 	  58.9080 	 -8.5501 	 -6.9985
-160.1963 	  29.4163 	 -24.1260 	 -0.8951
-143.1097 	  24.6341 	  11.3850 	  5.3319
 174.3152 	  45.5962 	 -6.2518 	 -10.8506
-134.6274 	  43.5395 	  10.8611 	 -2.0839
-126.6300 	  43.4835 	 -4.8398 	 -1.5115
 136.6575 	  32.6778 	 -27.8730 	 -17.0473
 163.8954 	  48.5293 	 -54.4088 	 -12.9748
 120.1742 	 -17.1262 	 -13.9911 	 -20.7147
