data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -10.6359 	 -15.2920
-28.8574 	 -42.5230 	  16.9360 	  7.9203
-94.3414 	  23.5932 	  9.3740 	  30.7444
 124.9137 	 -20.3398 	 -14.2371 	 -31.2465
 140.1430 	 -16.7669 	  35.5930 	 -25.1325
 114.0722 	 -36.2766 	 -35.6550 	 -31.8638
 92.1385 	 -25.3368 	  4.1800 	 -36.7519
-82.8231 	 -35.4212 	 -14.9488 	  25.4510
-21.8166 	 -26.7112 	  21.6367 	  8.7818
-99.3069 	 -40.9014 	  111.1630 	  22.5750
 120.0257 	 -19.5089 	 -21.9311 	 -32.9593
 114.4161 	 -18.4214 	 -21.6680 	 -34.5800
-11.2816 	  51.3746 	  1.4690 	 -1.5255
 35.9711 	 -29.8554 	 -6.8279 	 -22.6665
 123.0933 	 -45.4387 	 -30.4240 	 -27.3109
 148.8953 	 -29.7454 	 -33.7671 	 -20.4862
 2.7540 	  50.2640 	 -2.0100 	 -7.0805
 98.2694 	  40.3757 	 -14.5444 	 -32.9403
 133.2357 	  42.4028 	 -105.6570 	 -25.1732
 88.2156 	 -55.5642 	 -13.7500 	 -27.3141
 10.3922 	  11.1635 	  5.8612 	 -7.9492
 14.8922 	  50.1217 	  35.8120 	 -12.0240
 60.3421 	  42.9393 	 -2.7306 	 -28.8003
-113.4989 	  40.7487 	  27.2597 	  20.7116
-107.7237 	  49.8783 	  8.9197 	  16.8416
 120.5556 	  58.0478 	 -129.6633 	 -23.4588
 84.5149 	  42.1886 	 -24.7687 	 -32.5026
-86.5344 	 -30.6114 	  55.3966 	  27.8679
-102.0378 	 -28.5693 	  5.2450 	  28.1263
-51.4086 	  52.1613 	 -31.6876 	  11.6332
-9.6269 	 -32.6008 	  38.3187 	  1.0368
-86.8105 	  33.0796 	  132.7896 	  26.7561
-154.5155 	 -46.3249 	 -7.5570 	  5.4376
 33.8982 	  49.4575 	 -36.9870 	 -19.2793
-1.2673 	 -31.0031 	 -57.0402 	 -3.2822
-14.1021 	 -58.3672 	 -48.2864 	 -1.8563
 106.6723 	 -34.6585 	 -47.4115 	 -33.6006
 117.0873 	 -31.5443 	 -23.3930 	 -32.1783
-98.7840 	 -40.9268 	 -2.7020 	  22.6014
 4.5093 	 -48.4647 	  94.7163 	 -7.7138
-46.7076 	 -44.8373 	 -2.3729 	  13.6348
 122.7965 	 -27.2596 	  104.8815 	 -31.2538
 128.7826 	 -23.9549 	 -22.0930 	 -29.5651
 138.7027 	 -29.6442 	 -25.7320 	 -25.1099
 143.9810 	  28.0176 	  1.7150 	 -22.9002
-130.9152 	  58.9080 	 -20.2151 	  7.8541
-160.1963 	  29.4163 	 -3.1410 	  7.1610
-143.1097 	  24.6341 	  26.3740 	  17.0296
-134.6274 	  43.5395 	  43.1612 	  13.8161
-126.6300 	  43.4835 	  24.0849 	  16.2786
 163.8954 	  48.5293 	 -117.8377 	 -12.6122
 120.1742 	 -17.1262 	 -147.4516 	 -33.0339
