data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -10.6359 	 -15.3409
-28.8574 	 -42.5230 	  16.9360 	  7.9288
-94.3414 	  23.5932 	  9.3740 	  30.8356
 124.9137 	 -20.3398 	 -14.2371 	 -31.3536
 140.1430 	 -16.7669 	  35.5930 	 -25.1627
 114.0722 	 -36.2766 	 -35.6550 	 -31.9619
 92.1385 	 -25.3368 	  4.1800 	 -36.8659
-82.8231 	 -35.4212 	 -14.9488 	  25.5081
-21.8166 	 -26.7112 	  21.6367 	  8.7819
-99.3069 	 -40.9014 	  111.1630 	  22.6231
 120.0257 	 -19.5089 	 -21.9311 	 -32.9977
 114.4161 	 -18.4214 	 -21.6680 	 -34.6266
-11.2816 	  51.3746 	  1.4690 	 -1.5412
 35.9711 	 -29.8554 	 -6.8279 	 -22.7183
 123.0933 	 -45.4387 	 -30.4240 	 -27.3887
 148.8953 	 -29.7454 	 -33.7671 	 -20.5670
 2.7540 	  50.2640 	 -2.0100 	 -7.1103
 98.2694 	  40.3757 	 -14.5444 	 -33.0351
 133.2357 	  42.4028 	 -105.6570 	 -25.2481
 88.2156 	 -55.5642 	 -13.7500 	 -27.3910
 10.3922 	  11.1635 	  5.8612 	 -7.9969
 14.8922 	  50.1217 	  35.8120 	 -12.0665
 60.3421 	  42.9393 	 -2.7306 	 -28.8824
-113.4989 	  40.7487 	  27.2597 	  20.7561
-107.7237 	  49.8783 	  8.9197 	  16.8675
 120.5556 	  58.0478 	 -129.6633 	 -23.5237
 84.5149 	  42.1886 	 -24.7687 	 -32.5946
-86.5344 	 -30.6114 	  55.3966 	  27.9360
-102.0378 	 -28.5693 	  5.2450 	  28.2082
-51.4086 	  52.1613 	 -31.6876 	  11.6498
-9.6269 	 -32.6008 	  38.3187 	  1.0278
-86.8105 	  33.0796 	  132.7896 	  26.8196
-154.5155 	 -46.3249 	 -7.5570 	  5.4384
 33.8982 	  49.4575 	 -36.9870 	 -19.3399
-1.2673 	 -31.0031 	 -57.0402 	 -3.2991
-14.1021 	 -58.3672 	 -48.2864 	 -1.8740
 106.6723 	 -34.6585 	 -47.4115 	 -33.7038
 117.0873 	 -31.5443 	 -23.3930 	 -32.2861
-98.7840 	 -40.9268 	 -2.7020 	  22.6495
 4.5093 	 -48.4647 	  94.7163 	 -7.7449
-46.7076 	 -44.8373 	 -2.3729 	  13.6576
 122.7965 	 -27.2596 	  104.8815 	 -31.3723
 128.7826 	 -23.9549 	 -22.0930 	 -29.6933
 138.7027 	 -29.6442 	 -25.7320 	 -25.2058
 143.9810 	  28.0176 	  1.7150 	 -22.9937
-130.9152 	  58.9080 	 -20.2151 	  7.8534
-160.1963 	  29.4163 	 -3.1410 	  7.1872
-143.1097 	  24.6341 	  26.3740 	  17.1075
-134.6274 	  43.5395 	  43.1612 	  13.8401
-126.6300 	  43.4835 	  24.0849 	  16.3087
 163.8954 	  48.5293 	 -117.8377 	 -12.6538
 120.1742 	 -17.1262 	 -147.4516 	 -33.0823
