data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -9.8794 	 -13.1044
-28.8574 	 -42.5230 	  28.9280 	 -2.8520
 3.5308 	  28.4585 	 -50.0778 	 -6.3396
-94.3414 	  23.5932 	  13.3101 	  20.9949
 124.9137 	 -20.3398 	 -46.2797 	 -34.1827
-98.7698 	  24.8511 	  28.2411 	  21.2041
-125.8390 	  44.6222 	  19.0661 	  8.6897
 140.1430 	 -16.7669 	 -27.3640 	 -31.3962
 134.1592 	  49.7440 	 -27.5920 	 -23.7815
 133.9626 	 -28.7194 	 -17.1363 	 -28.8278
 114.0722 	 -36.2766 	 -13.7200 	 -29.9590
 92.1385 	 -25.3368 	 -7.4612 	 -30.2857
-82.8231 	 -35.4212 	  8.6719 	  12.3958
-21.8166 	 -26.7112 	  1.3680 	 -3.7654
-64.9271 	 -57.8266 	  8.3563 	  0.3253
-161.5729 	  54.6252 	 -37.0640 	 -4.6883
 174.4627 	 -56.1555 	 -12.5972 	 -12.2080
-98.9753 	 -41.3746 	 -34.3481 	  11.8124
-99.3069 	 -40.9014 	  17.1289 	  12.0901
 120.0257 	 -19.5089 	 -24.9080 	 -35.2913
 122.2786 	 -23.1812 	 -36.5487 	 -33.2860
-93.0132 	 -41.9963 	 -16.4274 	  10.9696
-21.4885 	 -56.6295 	  4.5620 	 -6.6725
-85.6885 	 -27.3195 	  15.3683 	  16.6374
 114.4161 	 -18.4214 	 -64.9740 	 -36.1461
 123.7485 	 -50.1750 	 -22.8728 	 -25.4059
 110.9649 	 -28.3522 	 -19.6558 	 -32.1459
-11.2816 	  51.3746 	 -43.9981 	 -7.7507
 35.9711 	 -29.8554 	  26.1983 	 -12.2093
 108.7632 	 -41.4245 	 -1.7453 	 -28.8511
 161.1387 	  42.8795 	 -19.3986 	 -16.6263
 123.0933 	 -45.4387 	  5.5510 	 -26.7254
 148.8953 	 -29.7454 	  4.1517 	 -23.0990
 2.7540 	  50.2640 	 -14.0020 	 -10.2963
 63.6699 	 -29.0700 	  10.2523 	 -20.9666
 91.4892 	  47.9536 	 -71.7853 	 -26.6836
 75.9894 	 -34.2225 	 -33.7981 	 -25.4634
 100.2997 	  53.4783 	 -75.1028 	 -25.7896
 11.2091 	  54.6321 	 -34.1010 	 -12.4556
 98.2694 	  40.3757 	 -31.8619 	 -28.7528
 133.2357 	  42.4028 	 -54.6920 	 -25.6513
-72.5440 	  22.9475 	  14.3900 	  13.3451
 83.0986 	 -45.4667 	 -9.1585 	 -26.1572
-179.1629 	 -59.4902 	 -32.4553 	 -10.7165
 88.2156 	 -55.5642 	  17.7906 	 -24.7419
 10.3922 	  11.1635 	 -14.8219 	  7.6230
 14.8922 	  50.1217 	 -12.1550 	 -12.6354
 60.3421 	  42.9393 	 -31.7573 	 -21.8127
 107.3184 	 -45.3258 	  10.6019 	 -27.9089
 123.9075 	 -37.4378 	 -15.6275 	 -28.6477
 138.2789 	  31.0327 	 -66.5488 	 -26.8926
-160.5093 	  33.1462 	 -14.1500 	  3.3696
 179.7861 	  51.7091 	 -11.7615 	 -10.0410
-159.9165 	  53.2069 	 -77.6780 	 -3.7524
-113.4989 	  40.7487 	  7.9344 	  12.2797
-92.3694 	  52.7453 	  16.7363 	  5.4677
 120.5556 	  58.0478 	 -31.4764 	 -23.5837
 84.5149 	  42.1886 	 -24.9960 	 -26.8036
 40.5381 	 -40.9564 	  32.6289 	 -16.7175
 47.4732 	 -44.8152 	  5.2330 	 -18.9266
-155.0729 	 -41.7563 	 -1.9280 	  2.1419
-86.5344 	 -30.6114 	  32.0384 	  15.3690
-102.0378 	 -28.5693 	  10.6069 	  19.3689
-73.6316 	 -27.1584 	  65.2698 	  12.6856
-51.4086 	  52.1613 	 -3.2980 	  0.0013
-9.6269 	 -32.6008 	  49.4475 	 -5.5366
-86.8105 	  33.0796 	  57.9966 	  14.3047
-154.5155 	 -46.3249 	  6.2496 	  0.4718
 33.8982 	  49.4575 	 -29.1467 	 -16.4033
-138.0213 	 -34.6503 	  46.5046 	  11.6904
-1.2673 	 -31.0031 	  39.6964 	 -6.3960
-14.1021 	 -58.3672 	  5.6720 	 -8.3006
 106.6723 	 -34.6585 	 -10.4100 	 -30.4429
 117.0873 	 -31.5443 	 -45.4701 	 -31.0265
-98.7840 	 -40.9268 	 -2.7020 	  12.0409
-4.8208 	 -50.8646 	  23.1214 	 -8.9230
 4.5093 	 -48.4647 	 -24.6295 	 -10.3779
-46.7076 	 -44.8373 	  12.6170 	  0.8432
 121.2326 	 -25.4243 	 -23.2850 	 -32.5518
 122.7965 	 -27.2596 	 -37.6898 	 -31.7081
 128.7826 	 -23.9549 	 -32.7405 	 -31.7728
 138.7027 	 -29.6442 	 -36.3326 	 -27.0986
 143.9810 	  28.0176 	 -64.6990 	 -25.5391
-121.4729 	  42.7859 	  35.6648 	  10.3647
-160.1963 	  29.4163 	  5.8530 	  5.1405
-143.1097 	  24.6341 	  2.3910 	  16.2002
 174.3152 	  45.5962 	 -6.5560 	 -11.3828
-134.6274 	  43.5395 	 -41.3905 	  7.5824
-126.6300 	  43.4835 	  23.2809 	  9.2082
 136.6575 	  32.6778 	 -44.0237 	 -26.9981
 163.8954 	  48.5293 	 -45.8890 	 -15.4611
 120.1742 	 -17.1262 	 -55.1861 	 -36.7423
