data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -10.6360 	 -13.6135
-28.8570 	 -42.5230 	  16.9360 	  3.5988
-94.3410 	  23.5930 	  9.3740 	  23.8198
 124.9140 	 -20.3400 	 -2.4200 	 -28.6419
 140.1430 	 -16.7670 	  35.5930 	 -24.3283
 114.0720 	 -36.2770 	 -35.6550 	 -28.0757
 92.1380 	 -25.3370 	  4.1800 	 -30.7892
-82.8230 	 -35.4210 	 -42.8060 	  18.3444
-21.8170 	 -26.7110 	  14.9430 	  4.2905
-99.3070 	 -40.9010 	  111.1630 	  16.4602
 120.0260 	 -19.5090 	 -21.9100 	 -29.8527
 114.4160 	 -18.4210 	 -17.2240 	 -30.9437
-11.2820 	  51.3750 	  1.4690 	 -3.6853
 35.9710 	 -29.8550 	 -6.8280 	 -17.8702
 123.0930 	 -45.4390 	 -30.4240 	 -24.5632
 148.8950 	 -29.7450 	 -49.5730 	 -19.2953
 2.7540 	  50.2640 	 -2.0100 	 -7.8074
 98.2690 	  40.3760 	 -14.5440 	 -28.4582
 133.2360 	  42.4030 	 -105.6570 	 -22.9430
 88.2160 	 -55.5640 	  26.4390 	 -24.1476
 10.3920 	  11.1640 	  5.1260 	 -4.8093
 14.8920 	  50.1220 	  35.8120 	 -11.5031
 60.3420 	  42.9390 	 -2.2490 	 -24.1848
-113.4990 	  40.7490 	  27.2820 	  15.3859
-107.7240 	  49.8780 	 -8.4970 	  11.5963
 120.5560 	  58.0480 	 -130.1190 	 -21.4877
 84.5150 	  42.1890 	 -24.7490 	 -27.7102
-86.5340 	 -30.6110 	  55.3850 	  20.6134
-102.0380 	 -28.5690 	  5.2450 	  21.8620
-51.4090 	  52.1610 	 -21.2860 	  6.4845
-9.6270 	 -32.6010 	  38.1780 	 -1.2264
-86.8100 	  33.0800 	  132.7900 	  19.6501
-154.5160 	 -46.3250 	 -7.5570 	  2.8297
 33.8980 	  49.4580 	 -36.9870 	 -16.9900
-1.2670 	 -31.0030 	 -43.4420 	 -4.1761
-14.1020 	 -58.3670 	 -48.2910 	 -4.1070
 106.6720 	 -34.6580 	 -9.7450 	 -29.2182
 117.0870 	 -31.5440 	 -23.3930 	 -28.4859
-98.7840 	 -40.9270 	 -2.7020 	  16.4625
 4.5090 	 -48.4650 	  94.7300 	 -8.2070
-46.7080 	 -44.8370 	 -2.3730 	  8.0440
 122.7960 	 -27.2600 	  104.8850 	 -28.0696
 128.7830 	 -23.9550 	 -22.0930 	 -27.0657
 138.7030 	 -29.6440 	 -25.7320 	 -23.1815
 143.9810 	  28.0180 	 -7.7380 	 -21.4144
-130.9150 	  58.9080 	 -53.7890 	  4.1450
-160.1960 	  29.4160 	 -3.1410 	  5.4079
-143.1100 	  24.6340 	  26.3740 	  14.5459
-134.6270 	  43.5390 	  43.1630 	  9.9024
-126.6300 	  43.4830 	 -11.0380 	  11.8385
 163.8950 	  48.5290 	 -117.8390 	 -12.5720
 120.1740 	 -17.1260 	 -147.4520 	 -30.2532
