data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -13.3474
-28.8570 	 -42.5230 	  10.9400 	  2.2897
 3.5310 	  28.4590 	 -28.4410 	 -5.9373
-94.3410 	  23.5930 	  6.3760 	  18.7988
-98.7700 	  24.8510 	 -17.9010 	  18.1847
 92.1380 	 -25.3370 	 -28.7970 	 -26.5105
-21.8170 	 -26.7110 	  23.9370 	  3.8835
-161.5730 	  54.6250 	  30.8430 	 -3.3323
-98.9750 	 -41.3750 	  15.3060 	  11.9824
-99.3070 	 -40.9010 	 -32.7370 	  12.1584
 120.0260 	 -19.5090 	  20.0610 	 -23.5001
 122.2790 	 -23.1810 	 -23.1650 	 -23.1123
-93.0130 	 -41.9960 	  28.0220 	  11.9277
-21.4880 	 -56.6300 	  7.6990 	 -3.0655
-85.6880 	 -27.3200 	 -13.4380 	  17.5154
 114.4160 	 -18.4210 	 -11.2280 	 -24.5051
 110.9650 	 -28.3520 	  20.6680 	 -24.9347
-11.2820 	  51.3750 	 -19.5160 	 -4.5112
 35.9710 	 -29.8550 	  14.1570 	 -17.4176
 108.7630 	 -41.4250 	 -23.7040 	 -23.9665
 161.1390 	  42.8800 	 -13.2170 	 -12.4310
 148.8950 	 -29.7450 	 -4.6050 	 -15.8955
 2.7540 	  50.2640 	 -14.0020 	 -8.1782
 63.6700 	 -29.0700 	  0.2290 	 -24.0870
 91.4890 	  47.9540 	  0.8340 	 -23.7447
 100.3000 	  53.4780 	 -129.8050 	 -22.2540
 11.2090 	  54.6320 	 -76.0720 	 -10.6521
 98.2690 	  40.3760 	  3.4440 	 -24.9204
 133.2360 	  42.4030 	 -0.7300 	 -19.8291
-72.5440 	  22.9480 	  25.3760 	  17.9828
 83.0990 	 -45.4670 	 -23.9660 	 -24.1197
-179.1630 	 -59.4900 	 -35.9780 	 -8.1264
 88.2160 	 -55.5640 	 -84.4840 	 -21.9541
 10.3920 	  11.1640 	 -27.8510 	 -6.2295
 14.8920 	  50.1220 	 -27.1440 	 -11.4830
 123.9070 	 -37.4380 	 -11.1520 	 -22.1856
-160.5090 	  33.1460 	  27.8210 	  1.6457
-159.9170 	  53.2070 	 -59.6910 	 -2.6303
-107.7240 	  49.8780 	  0.4970 	  7.8275
 84.5150 	  42.1890 	 -3.7630 	 -24.7445
 47.4730 	 -44.8150 	 -10.5100 	 -19.7458
-102.0380 	 -28.5690 	 -0.7510 	  16.6609
-73.6320 	 -27.1580 	  36.9310 	  16.7398
-51.4090 	  52.1610 	 -18.2880 	  4.2574
-9.6270 	 -32.6010 	  77.1510 	 -1.7079
-86.8100 	  33.0800 	  129.7930 	  15.4556
 33.8980 	  49.4580 	  4.9840 	 -16.3081
-1.2670 	 -31.0030 	  10.5200 	 -4.4990
-14.1020 	 -58.3670 	  38.6490 	 -5.0477
 106.6720 	 -34.6580 	 -6.7470 	 -25.0018
-98.7840 	 -40.9270 	 -8.6980 	  12.1746
-4.8210 	 -50.8650 	  29.6230 	 -6.1681
 4.5090 	 -48.4650 	  19.7820 	 -8.5112
 121.2330 	 -25.4240 	 -83.2430 	 -23.3011
 138.7030 	 -29.6440 	 -40.7210 	 -18.9778
 143.9810 	  28.0180 	 -46.7110 	 -17.3898
-130.9150 	  58.9080 	  9.1680 	  1.4058
-160.1960 	  29.4160 	 -15.1330 	  2.5726
-143.1100 	  24.6340 	  65.3470 	  9.5458
 174.3150 	  45.5960 	 -54.5230 	 -8.6079
-134.6270 	  43.5390 	  22.1780 	  6.1340
 136.6570 	  32.6780 	 -38.2280 	 -19.5173
 120.1740 	 -17.1260 	  11.4380 	 -23.3688
