data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -16.6320 	 -10.5827
-28.8570 	 -42.5230 	  22.9320 	 -6.3960
 3.5310 	  28.4590 	 -7.4560 	 -6.4029
-94.3410 	  23.5930 	 -17.6080 	  1.4467
 124.9140 	 -20.3400 	 -62.3790 	 -10.7849
-98.7700 	  24.8510 	 -17.9010 	  1.1724
-125.8390 	  44.6220 	 -10.6800 	 -4.6829
 140.1430 	 -16.7670 	 -30.3620 	 -9.2299
 134.1590 	  49.7440 	 -60.5690 	 -13.2195
 133.9630 	 -28.7190 	  2.6960 	 -11.1960
 114.0720 	 -36.2770 	  0.3200 	 -13.0543
 92.1380 	 -25.3370 	 -25.7990 	 -11.8996
-21.8170 	 -26.7110 	  8.9480 	 -3.8822
-64.9270 	 -57.8270 	 -11.6210 	 -7.5341
-161.5730 	  54.6250 	  12.8560 	 -9.0604
 174.4630 	 -56.1560 	 -20.2920 	 -11.0305
-98.9750 	 -41.3750 	  42.2870 	 -3.1475
-99.3070 	 -40.9010 	 -44.7290 	 -3.0286
 120.0260 	 -19.5090 	 -33.9010 	 -10.9219
 122.2790 	 -23.1810 	  3.8160 	 -11.2575
-85.6880 	 -27.3200 	  16.5410 	  0.2748
 114.4160 	 -18.4210 	 -32.2140 	 -10.9743
 123.7490 	 -50.1750 	 -7.4370 	 -13.7466
 110.9650 	 -28.3520 	 -3.3150 	 -12.2786
-11.2820 	  51.3750 	  1.4690 	 -9.2073
 35.9710 	 -29.8550 	 -12.8240 	 -9.4131
 108.7630 	 -41.4250 	 -5.7160 	 -13.6497
 161.1390 	  42.8800 	 -1.2250 	 -10.5481
 123.0930 	 -45.4390 	  5.5510 	 -13.4790
 148.8950 	 -29.7450 	  49.3580 	 -10.0100
 2.7540 	  50.2640 	  3.9860 	 -10.0374
 63.6700 	 -29.0700 	 -38.7440 	 -11.2634
 91.4890 	  47.9540 	 -23.1500 	 -14.2203
 100.3000 	  53.4780 	 -30.8740 	 -14.4528
 11.2090 	  54.6320 	 -7.1200 	 -11.1689
 98.2690 	  40.3760 	 -32.5310 	 -13.6867
 133.2360 	  42.4030 	 -54.6920 	 -12.7058
-72.5440 	  22.9480 	 -28.5870 	  0.7297
 83.0990 	 -45.4670 	 -5.9780 	 -13.9577
-179.1630 	 -59.4900 	 -5.9990 	 -10.9690
 10.3920 	  11.1640 	  8.1240 	 -3.0089
 14.8920 	  50.1220 	 -3.1610 	 -10.8818
 60.3420 	  42.9390 	 -11.2420 	 -12.9440
 107.3180 	 -45.3260 	 -3.3680 	 -13.9621
 123.9070 	 -37.4380 	  6.8360 	 -12.7695
 138.2790 	  31.0330 	  6.1560 	 -11.1403
-160.5090 	  33.1460 	 -8.1540 	 -4.7310
 179.7860 	  51.7090 	  5.7410 	 -10.0607
-159.9170 	  53.2070 	 -29.7110 	 -8.6992
-113.4990 	  40.7490 	 -5.6950 	 -3.2298
-107.7240 	  49.8780 	 -8.4970 	 -5.3572
 120.5560 	  58.0480 	 -7.2040 	 -14.1603
 84.5150 	  42.1890 	 -12.7570 	 -13.7247
 40.5380 	 -40.9560 	  2.3450 	 -11.5241
 47.4730 	 -44.8150 	 -13.5080 	 -12.4359
-155.0730 	 -41.7560 	 -16.9180 	 -6.0780
-102.0380 	 -28.5690 	 -3.7490 	  0.1822
-73.6320 	 -27.1580 	  6.9520 	 -0.1794
-51.4090 	  52.1610 	 -21.2860 	 -6.9024
-9.6270 	 -32.6010 	 -0.7950 	 -6.0661
-86.8100 	  33.0800 	  3.8800 	 -1.1456
 33.8980 	  49.4580 	 -19.0000 	 -12.0863
-1.2670 	 -31.0030 	 -16.4610 	 -6.4813
-14.1020 	 -58.3670 	 -9.3180 	 -10.0512
 106.6720 	 -34.6580 	 -0.7510 	 -13.0673
 117.0870 	 -31.5440 	  6.5860 	 -12.4587
-98.7840 	 -40.9270 	  18.2830 	 -3.0331
-4.8210 	 -50.8650 	  2.6420 	 -9.5834
 4.5090 	 -48.4650 	 -7.1990 	 -9.9114
-46.7080 	 -44.8370 	  0.6250 	 -5.6521
 121.2330 	 -25.4240 	 -11.2930 	 -11.5765
 122.7960 	 -27.2600 	 -15.0320 	 -11.7198
 128.7830 	 -23.9550 	 -10.1010 	 -10.9817
 138.7030 	 -29.6440 	 -7.7440 	 -10.9358
 143.9810 	  28.0180 	 -1.7420 	 -10.2607
-121.4730 	  42.7860 	 -2.2700 	 -4.0326
-130.9150 	  58.9080 	 -26.8070 	 -8.1079
-160.1960 	  29.4160 	 -24.1260 	 -3.8381
-143.1100 	  24.6340 	  11.3850 	 -0.7669
 174.3150 	  45.5960 	 -0.5600 	 -9.6776
-134.6270 	  43.5390 	 -4.8030 	 -4.9096
-126.6300 	  43.4830 	 -11.0380 	 -4.4444
 136.6570 	  32.6780 	 -8.2490 	 -11.4632
 163.8950 	  48.5290 	 -48.8870 	 -10.9909
 120.1740 	 -17.1260 	  2.4440 	 -10.6486
