data_lon 	 data_lat 	 data_v 	 model_v
 21.9090 	  43.9640 	 -7.6380 	 -12.7730
-28.8570 	 -42.5230 	  28.9280 	  2.1759
 3.5310 	  28.4590 	 -10.4540 	 -5.6620
-94.3410 	  23.5930 	 -20.6060 	  18.4138
 124.9140 	 -20.3400 	 -20.4080 	 -22.3261
-98.7700 	  24.8510 	 -17.9010 	  17.8821
-125.8390 	  44.6220 	  64.2680 	  7.5641
 140.1430 	 -16.7670 	 -27.3640 	 -18.2269
 134.1590 	  49.7440 	 -27.5920 	 -18.3405
 133.9630 	 -28.7190 	 -6.2980 	 -20.0306
 114.0720 	 -36.2770 	 -2.6780 	 -23.3944
 92.1380 	 -25.3370 	 -7.8110 	 -25.7674
-82.8230 	 -35.4210 	  29.1450 	  14.0697
-21.8170 	 -26.7110 	 -0.0460 	  3.5613
-64.9270 	 -57.8270 	 -5.6250 	  3.7436
-161.5730 	  54.6250 	 -32.1130 	 -3.0732
 174.4630 	 -56.1560 	 -26.2880 	 -8.9846
-98.9750 	 -41.3750 	 -11.6750 	  11.8143
-99.3070 	 -40.9010 	  33.2170 	  11.9886
 120.0260 	 -19.5090 	 -24.9080 	 -23.3256
 122.2790 	 -23.1810 	 -8.1750 	 -22.8402
-93.0130 	 -41.9960 	 -43.9290 	  11.7231
-21.4880 	 -56.6300 	  1.7030 	 -2.9153
-85.6880 	 -27.3200 	 -4.4450 	  17.0605
 114.4160 	 -18.4210 	 -26.2180 	 -24.2787
 123.7490 	 -50.1750 	 -40.4140 	 -20.0343
 110.9650 	 -28.3520 	 -24.3010 	 -24.4560
-11.2820 	  51.3750 	 -25.5120 	 -4.3179
 35.9710 	 -29.8550 	 -0.8320 	 -16.5467
 108.7630 	 -41.4250 	  3.2770 	 -23.3396
 161.1390 	  42.8800 	  1.7730 	 -12.1030
 123.0930 	 -45.4390 	  5.5510 	 -20.8881
 148.8950 	 -29.7450 	  19.3790 	 -15.7086
 2.7540 	  50.2640 	 -14.0020 	 -7.8350
 63.6700 	 -29.0700 	  6.2250 	 -23.0848
 91.4890 	  47.9540 	 -104.0940 	 -23.0017
 75.9890 	 -34.2220 	 -40.9730 	 -24.4059
 100.3000 	  53.4780 	 -90.8320 	 -21.5670
 11.2090 	  54.6320 	 -34.1010 	 -10.2126
 98.2690 	  40.3760 	 -8.5480 	 -24.2127
 133.2360 	  42.4030 	 -54.6920 	 -19.3744
-72.5440 	  22.9480 	  25.3760 	  17.2848
 83.0990 	 -45.4670 	 -26.9640 	 -23.3292
-179.1630 	 -59.4900 	 -23.9860 	 -7.7806
 88.2160 	 -55.5640 	  38.4310 	 -21.2336
 10.3920 	  11.1640 	 -12.8610 	 -5.6084
 14.8920 	  50.1220 	 -12.1550 	 -11.0040
 60.3420 	  42.9390 	 -20.2360 	 -21.4767
 107.3180 	 -45.3260 	 -18.3570 	 -22.8324
 123.9070 	 -37.4380 	 -41.1310 	 -21.7169
 138.2790 	  31.0330 	 -71.7900 	 -18.8366
-160.5090 	  33.1460 	 -14.1500 	  1.8657
 179.7860 	  51.7090 	 -57.2150 	 -7.3092
-159.9170 	  53.2070 	 -77.6780 	 -2.3831
-113.4990 	  40.7490 	  21.2870 	  10.8555
-92.3690 	  52.7450 	  23.6200 	  7.2265
 120.5560 	  58.0480 	  22.7760 	 -18.8805
 84.5150 	  42.1890 	 -30.7450 	 -23.9463
 40.5380 	 -40.9560 	  47.3130 	 -17.6952
 47.4730 	 -44.8150 	 -13.5080 	 -18.9548
-155.0730 	 -41.7560 	 -1.9280 	  1.5646
-86.5340 	 -30.6110 	 -4.5730 	  15.9655
-102.0380 	 -28.5690 	  2.2470 	  16.4438
-73.6320 	 -27.1580 	  84.8980 	  16.1462
-51.4090 	  52.1610 	 -3.2980 	  4.1554
-9.6270 	 -32.6010 	  80.1490 	 -1.6826
-86.8100 	  33.0800 	  84.8240 	  15.0919
-154.5160 	 -46.3250 	 -7.5570 	  0.5880
 33.8980 	  49.4580 	 -19.0000 	 -15.6457
-138.0210 	 -34.6500 	  10.8700 	  8.2781
-1.2670 	 -31.0030 	  46.4950 	 -4.3174
-14.1020 	 -58.3670 	  5.6720 	 -4.8212
 106.6720 	 -34.6580 	 -6.7470 	 -24.3984
 117.0870 	 -31.5440 	 -20.3960 	 -23.3851
-98.7840 	 -40.9270 	 -2.7020 	  12.0010
-4.8210 	 -50.8650 	  62.6010 	 -5.9080
 4.5090 	 -48.4650 	  58.7550 	 -8.1530
-46.7080 	 -44.8370 	  12.6170 	  5.7663
 121.2330 	 -25.4240 	 -23.2850 	 -22.9852
 122.7960 	 -27.2600 	 -18.0300 	 -22.6166
 128.7830 	 -23.9550 	 -43.0780 	 -21.4055
 138.7030 	 -29.6440 	 -28.7300 	 -18.7490
 143.9810 	  28.0180 	 -64.6990 	 -17.2240
-121.4730 	  42.7860 	  72.6780 	  8.9638
-160.1960 	  29.4160 	  5.8530 	  2.8042
-143.1100 	  24.6340 	  2.3910 	  9.7540
 174.3150 	  45.5960 	 -6.5560 	 -8.3014
-134.6270 	  43.5390 	 -103.7350 	  6.2355
-126.6300 	  43.4830 	  45.9230 	  7.8350
 136.6570 	  32.6780 	 -38.2280 	 -19.2155
 163.8950 	  48.5290 	 -45.8890 	 -11.4178
 120.1740 	 -17.1260 	 -6.5490 	 -23.3068
