data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -10.6359 	 -15.3838
-28.8574 	 -42.5230 	  16.9360 	  7.9633
-94.3414 	  23.5932 	  9.3740 	  30.8542
 124.9137 	 -20.3398 	 -14.2371 	 -31.2899
 140.1430 	 -16.7669 	  35.5930 	 -25.0622
 114.0722 	 -36.2766 	 -35.6550 	 -31.9650
 92.1385 	 -25.3368 	  4.1800 	 -36.9030
-82.8231 	 -35.4212 	 -14.9488 	  25.5455
-21.8166 	 -26.7112 	  21.6367 	  8.8420
-99.3069 	 -40.9014 	  111.1630 	  22.6326
 120.0257 	 -19.5089 	 -21.9311 	 -32.9390
 114.4161 	 -18.4214 	 -21.6680 	 -34.5769
-11.2816 	  51.3746 	  1.4690 	 -1.5388
 35.9711 	 -29.8554 	 -6.8279 	 -22.8080
 123.0933 	 -45.4387 	 -30.4240 	 -27.3955
 148.8953 	 -29.7454 	 -33.7671 	 -20.5345
 2.7540 	  50.2640 	 -2.0100 	 -7.1245
 98.2694 	  40.3757 	 -14.5444 	 -33.0640
 133.2357 	  42.4028 	 -105.6570 	 -25.2447
 88.2156 	 -55.5642 	 -13.7500 	 -27.4267
 10.3922 	  11.1635 	  5.8612 	 -8.0781
 14.8922 	  50.1217 	  35.8120 	 -12.0954
 60.3421 	  42.9393 	 -2.7306 	 -28.9472
-113.4989 	  40.7487 	  27.2597 	  20.7478
-107.7237 	  49.8783 	  8.9197 	  16.8685
 120.5556 	  58.0478 	 -129.6633 	 -23.5419
 84.5149 	  42.1886 	 -24.7687 	 -32.6410
-86.5344 	 -30.6114 	  55.3966 	  27.9717
-102.0378 	 -28.5693 	  5.2450 	  28.2085
-51.4086 	  52.1613 	 -31.6876 	  11.6786
-9.6269 	 -32.6008 	  38.3187 	  1.0449
-86.8105 	  33.0796 	  132.7896 	  26.8525
-154.5155 	 -46.3249 	 -7.5570 	  5.4185
 33.8982 	  49.4575 	 -36.9870 	 -19.3876
-1.2673 	 -31.0031 	 -57.0402 	 -3.3027
-14.1021 	 -58.3672 	 -48.2864 	 -1.8740
 106.6723 	 -34.6585 	 -47.4115 	 -33.7159
 117.0873 	 -31.5443 	 -23.3930 	 -32.2760
-98.7840 	 -40.9268 	 -2.7020 	  22.6596
 4.5093 	 -48.4647 	  94.7163 	 -7.7615
-46.7076 	 -44.8373 	 -2.3729 	  13.6997
 122.7965 	 -27.2596 	  104.8815 	 -31.3420
 128.7826 	 -23.9549 	 -22.0930 	 -29.6426
 138.7027 	 -29.6442 	 -25.7320 	 -25.1711
 143.9810 	  28.0176 	  1.7150 	 -22.9538
-130.9152 	  58.9080 	 -20.2151 	  7.8443
-160.1963 	  29.4163 	 -3.1410 	  7.1501
-143.1097 	  24.6341 	  26.3740 	  17.0428
-134.6274 	  43.5395 	  43.1612 	  13.8188
-126.6300 	  43.4835 	  24.0849 	  16.2915
 163.8954 	  48.5293 	 -117.8377 	 -12.6583
 120.1742 	 -17.1262 	 -147.4516 	 -33.0085
