data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -10.6359 	  40.9280
-28.8574 	 -42.5230 	  16.9360 	 -44.1939
-94.3414 	  23.5932 	  9.3740 	  30.9180
 124.9137 	 -20.3398 	 -14.2371 	 -46.0137
 140.1430 	 -16.7669 	  35.5930 	 -38.4060
 114.0722 	 -36.2766 	 -35.6550 	 -54.8391
 92.1385 	 -25.3368 	  4.1800 	 -34.5005
-82.8231 	 -35.4212 	 -14.9488 	  27.5667
-21.8166 	 -26.7112 	  21.6367 	 -65.3824
-99.3069 	 -40.9014 	  111.1630 	  44.0136
 120.0257 	 -19.5089 	 -21.9311 	 -45.0590
 114.4161 	 -18.4214 	 -21.6680 	 -42.4957
-11.2816 	  51.3746 	  1.4690 	 -39.0339
 35.9711 	 -29.8554 	 -6.8279 	  45.9021
 123.0933 	 -45.4387 	 -30.4240 	 -53.5450
 148.8953 	 -29.7454 	 -33.7671 	 -38.5330
 2.7540 	  50.2640 	 -2.0100 	  14.5085
 98.2694 	  40.3757 	 -14.5444 	 -49.5850
 133.2357 	  42.4028 	 -105.6570 	 -50.4102
 88.2156 	 -55.5642 	 -13.7500 	 -41.0031
 10.3922 	  11.1635 	  5.8612 	  64.5244
 14.8922 	  50.1217 	  35.8120 	  34.7627
 60.3421 	  42.9393 	 -2.7306 	 -7.1500
-113.4989 	  40.7487 	  27.2597 	  48.8988
-107.7237 	  49.8783 	  8.9197 	  44.7448
 120.5556 	  58.0478 	 -129.6633 	 -46.4308
 84.5149 	  42.1886 	 -24.7687 	 -38.5004
-86.5344 	 -30.6114 	  55.3966 	  28.7452
-102.0378 	 -28.5693 	  5.2450 	  41.6949
-51.4086 	  52.1613 	 -31.6876 	 -6.2950
-9.6269 	 -32.6008 	  38.3187 	 -50.3389
-86.8105 	  33.0796 	  132.7896 	  30.8071
-154.5155 	 -46.3249 	 -7.5570 	  25.5947
 33.8982 	  49.4575 	 -36.9870 	  24.1412
-1.2673 	 -31.0031 	 -57.0402 	 -16.5838
-14.1021 	 -58.3672 	 -48.2864 	 -32.9351
 106.6723 	 -34.6585 	 -47.4115 	 -52.3865
 117.0873 	 -31.5443 	 -23.3930 	 -53.6240
-98.7840 	 -40.9268 	 -2.7020 	  43.7029
 4.5093 	 -48.4647 	  94.7163 	  21.7727
-46.7076 	 -44.8373 	 -2.3729 	 -18.6896
 122.7965 	 -27.2596 	  104.8815 	 -51.3739
 128.7826 	 -23.9549 	 -22.0930 	 -48.2407
 138.7027 	 -29.6442 	 -25.7320 	 -46.4705
 143.9810 	  28.0176 	  1.7150 	 -42.2104
-130.9152 	  58.9080 	 -20.2151 	  34.2550
-160.1963 	  29.4163 	 -3.1410 	  22.1234
-143.1097 	  24.6341 	  26.3740 	  37.5300
-134.6274 	  43.5395 	  43.1612 	  42.7569
-126.6300 	  43.4835 	  24.0849 	  46.4702
 163.8954 	  48.5293 	 -117.8377 	 -22.1578
 120.1742 	 -17.1262 	 -147.4516 	 -42.4834
