data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	 -12.2544
-28.8574 	 -42.5230 	  10.2500 	 -9.5210
 3.5308 	  28.4585 	  13.5300 	 -7.5134
 124.9137 	 -20.3398 	 -11.4140 	 -18.3990
-98.7698 	  24.8511 	  9.5936 	  3.7402
 140.1430 	 -16.7669 	 -20.9135 	 -16.8025
 134.1592 	  49.7440 	 -12.6020 	 -18.1316
 133.9626 	 -28.7194 	 -0.3020 	 -17.4989
 114.0722 	 -36.2766 	 -5.6760 	 -18.7486
 92.1385 	 -25.3368 	 -7.8110 	 -16.4420
-82.8231 	 -35.4212 	 -0.8350 	 -2.1244
-21.8166 	 -26.7112 	  23.6784 	 -8.3398
-64.9271 	 -57.8266 	  3.3690 	 -9.7046
-161.5729 	  54.6252 	 -40.6271 	 -10.8245
 94.0025 	  27.4170 	 -79.4430 	 -16.9510
 174.4627 	 -56.1555 	 -11.2980 	 -14.1089
-98.9753 	 -41.3746 	 -11.6750 	 -2.7640
-99.3069 	 -40.9014 	 -56.4414 	 -2.5751
 120.0257 	 -19.5089 	 -6.9200 	 -18.6338
 78.4261 	 -24.6985 	 -23.7030 	 -13.7583
 122.2786 	 -23.1812 	 -23.1806 	 -18.4018
-93.0132 	 -41.9963 	  1.0399 	 -3.3265
-21.4885 	 -56.6295 	 -1.2950 	 -12.2547
-85.6885 	 -27.3195 	 -7.4420 	  0.8551
 114.4161 	 -18.4214 	 -12.6119 	 -18.6598
 123.7485 	 -50.1750 	 -28.4220 	 -18.7732
 110.9649 	 -28.3522 	 -42.5761 	 -18.4263
-11.2816 	  51.3746 	 -4.5270 	 -12.0069
 35.9711 	 -29.8554 	  15.1739 	 -8.4142
 108.7632 	 -41.4245 	 -11.7120 	 -18.9033
 161.1387 	  42.8795 	 -10.2190 	 -14.3865
 123.0933 	 -45.4387 	 -25.4103 	 -18.7503
 2.7540 	  50.2640 	  0.9880 	 -12.5711
 63.6699 	 -29.0700 	 -13.9799 	 -12.0999
 91.4892 	  47.9536 	 -11.1580 	 -18.5971
 75.9894 	 -34.2225 	 -10.9930 	 -15.4877
 100.2997 	  53.4783 	 -73.5790 	 -19.0575
 11.2091 	  54.6321 	 -19.1110 	 -13.8084
 98.2694 	  40.3757 	 -43.6265 	 -18.4980
 133.2357 	  42.4028 	 -34.1045 	 -18.0204
-72.5440 	  22.9475 	  16.5665 	 -0.6949
 83.0986 	 -45.4667 	 -14.9720 	 -17.8770
-179.1629 	 -59.4902 	 -17.9910 	 -13.8286
 10.3922 	  11.1635 	  11.1220 	  9.4506
 60.3421 	  42.9393 	  0.7490 	 -15.3215
 107.3184 	 -45.3258 	 -0.3700 	 -19.0115
 123.9075 	 -37.4378 	 -29.1390 	 -18.5234
 138.2789 	  31.0327 	 -26.8210 	 -17.0458
-160.5093 	  33.1462 	 -5.1560 	 -4.3720
 179.7861 	  51.7091 	 -3.2530 	 -12.7131
-159.9165 	  53.2069 	 -47.6990 	 -10.2713
-113.4989 	  40.7487 	 -14.6880 	 -2.1962
-107.7237 	  49.8783 	 -38.4760 	 -5.6072
-92.3694 	  52.7453 	 -21.3490 	 -6.8942
 120.5556 	  58.0478 	 -19.1950 	 -18.8329
-16.0216 	  47.2062 	 -2.4780 	 -11.0426
 84.5149 	  42.1886 	 -18.7530 	 -17.6617
 40.5381 	 -40.9564 	 -3.6510 	 -12.8189
 47.4732 	 -44.8152 	  10.4760 	 -14.4270
-155.0729 	 -41.7563 	  4.0680 	 -6.2608
-86.5344 	 -30.6114 	 -10.5690 	 -0.1050
-102.0378 	 -28.5693 	 -0.7510 	  2.4629
-73.6316 	 -27.1584 	 -17.0898 	 -1.3309
-51.4086 	  52.1613 	  29.6790 	 -9.4117
-9.6269 	 -32.6008 	  2.2030 	 -8.7998
-86.8105 	  33.0796 	  21.8670 	 -0.8860
-154.5155 	 -46.3249 	 -19.5490 	 -7.6250
 177.0833 	  39.9376 	  0.6990 	 -10.9581
 33.8982 	  49.4575 	 -7.0080 	 -14.2970
 38.4023 	 -43.3339 	  10.4620 	 -13.2640
-1.2673 	 -31.0031 	  19.0029 	 -8.3565
-14.1021 	 -58.3672 	  5.6720 	 -12.9599
 106.6723 	 -34.6585 	  5.2450 	 -18.5519
 117.0873 	 -31.5443 	 -8.4040 	 -18.5781
-98.7840 	 -40.9268 	 -2.7020 	 -2.6105
-4.8208 	 -50.8646 	 -0.3560 	 -12.2752
 4.5093 	 -48.4647 	 -7.1990 	 -12.3235
-46.7076 	 -44.8373 	  3.6230 	 -8.4253
 121.2326 	 -25.4243 	 -23.2850 	 -18.4065
 122.7965 	 -27.2596 	 -30.0210 	 -18.3521
 128.7826 	 -23.9549 	 -28.0890 	 -17.9881
 138.7027 	 -29.6442 	 -28.7300 	 -16.9370
 143.9810 	  28.0176 	 -34.7190 	 -16.0636
-121.4729 	  42.7859 	 -17.2600 	 -3.1836
-130.9152 	  58.9080 	 -29.8050 	 -9.3105
-160.1963 	  29.4163 	 -6.1390 	 -2.9796
-143.1097 	  24.6341 	  2.3910 	  2.6171
 174.3152 	  45.5962 	 -9.5540 	 -12.5228
-134.6274 	  43.5395 	 -4.8030 	 -4.3268
 136.6575 	  32.6778 	 -24.2633 	 -17.3114
 120.1742 	 -17.1262 	 -14.0885 	 -18.8675
