data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -5.2375 	 -15.3527
-28.8574 	 -42.5230 	  10.9400 	 -4.4577
 3.5308 	  28.4585 	 -7.4497 	 -7.9251
-94.3414 	  23.5932 	  35.3159 	  17.9306
 124.9137 	 -20.3398 	 -47.4066 	 -32.9256
-98.7698 	  24.8511 	  38.0489 	  18.1039
-125.8390 	  44.6222 	 -3.8684 	  5.6121
 140.1430 	 -16.7669 	 -27.3640 	 -30.1926
 114.0722 	 -36.2766 	  4.6495 	 -30.2148
 92.1385 	 -25.3368 	 -67.7062 	 -29.8178
-21.8166 	 -26.7112 	  22.8718 	 -3.8300
-64.9271 	 -57.8266 	 -2.3372 	 -2.3662
 94.0025 	  27.4170 	 -39.6249 	 -30.1318
 174.4627 	 -56.1555 	 -24.6027 	 -14.4886
-98.9753 	 -41.3746 	  14.7272 	  8.8459
-99.3069 	 -40.9014 	  13.1918 	  9.1281
 120.0257 	 -19.5089 	 -21.8407 	 -33.7806
 78.4261 	 -24.6985 	 -10.9842 	 -25.9431
-21.4885 	 -56.6295 	 -4.1015 	 -9.0298
-11.2816 	  51.3746 	 -20.1154 	 -9.9162
 35.9711 	 -29.8554 	 -4.1537 	 -14.5609
 108.7632 	 -41.4245 	 -27.3174 	 -29.5634
 161.1387 	  42.8795 	 -38.1352 	 -18.0627
 123.0933 	 -45.4387 	 -17.7323 	 -27.7191
 2.7540 	  50.2640 	 -25.6485 	 -12.5177
 63.6699 	 -29.0700 	  19.1205 	 -22.2009
 91.4892 	  47.9536 	 -48.2711 	 -28.0507
 75.9894 	 -34.2225 	 -28.5284 	 -26.4102
 100.2997 	  53.4783 	 -44.6134 	 -27.3627
 98.2694 	  40.3757 	 -38.7579 	 -29.5178
 133.2357 	  42.4028 	 -31.7791 	 -26.5334
-72.5440 	  22.9475 	  7.3880 	  11.3779
 83.0986 	 -45.4667 	 -21.2157 	 -27.5291
-179.1629 	 -59.4902 	 -24.1779 	 -13.1941
 10.3922 	  11.1635 	  23.6036 	  1.1921
 14.8922 	  50.1217 	 -42.2734 	 -14.9349
 60.3421 	  42.9393 	 -6.8748 	 -23.6180
 107.3184 	 -45.3258 	 -35.3172 	 -28.9135
 138.2789 	  31.0327 	 -32.8977 	 -26.9765
-160.5093 	  33.1462 	 -16.5225 	  1.0885
 179.7861 	  51.7091 	 -30.2340 	 -12.2820
-113.4989 	  40.7487 	  6.9985 	  9.1700
-107.7237 	  49.8783 	  25.5993 	  4.2587
-92.3694 	  52.7453 	  5.6320 	  2.5326
 120.5556 	  58.0478 	 -50.1075 	 -25.3439
-16.0216 	  47.2062 	 -18.5632 	 -8.1387
 84.5149 	  42.1886 	 -48.7785 	 -27.9672
 40.5381 	 -40.9564 	 -3.6510 	 -18.8905
 47.4732 	 -44.8152 	 -5.8357 	 -21.0303
-155.0729 	 -41.7563 	  2.7865 	 -0.4370
-86.5344 	 -30.6114 	  37.5558 	  12.7416
-102.0378 	 -28.5693 	 -7.6423 	  16.3287
-73.6316 	 -27.1584 	  13.7486 	  10.6542
-51.4086 	  52.1613 	 -3.2980 	 -2.3448
-9.6269 	 -32.6008 	  20.3629 	 -6.6698
-86.8105 	  33.0796 	  9.8300 	  11.6530
-154.5155 	 -46.3249 	  6.3025 	 -2.1973
 177.0833 	  39.9376 	 -12.6012 	 -11.2647
 33.8982 	  49.4575 	 -24.9960 	 -18.6984
 38.4023 	 -43.3339 	 -5.4848 	 -18.8315
-138.0213 	 -34.6503 	  4.8740 	  8.7674
-1.2673 	 -31.0031 	  22.6541 	 -7.8063
-14.1021 	 -58.3672 	 -6.9862 	 -10.7175
 106.6723 	 -34.6585 	 -17.7582 	 -30.6151
 117.0873 	 -31.5443 	 -33.3160 	 -30.8695
-98.7840 	 -40.9268 	  24.2958 	  9.0887
-4.8208 	 -50.8646 	  8.8806 	 -11.1090
 4.5093 	 -48.4647 	 -19.3414 	 -12.5626
-46.7076 	 -44.8373 	 -1.8970 	 -1.0756
 121.2326 	 -25.4243 	 -26.2830 	 -31.7903
 122.7965 	 -27.2596 	 -21.0849 	 -31.1834
 128.7826 	 -23.9549 	 -28.3416 	 -30.9237
 138.7027 	 -29.6442 	  0.5669 	 -27.0944
 143.9810 	  28.0176 	 -26.2964 	 -25.5320
-121.4729 	  42.7859 	  3.3701 	  7.2800
-130.9152 	  58.9080 	  12.2908 	 -2.6947
-160.1963 	  29.4163 	 -9.1370 	  2.9410
-143.1097 	  24.6341 	  15.0077 	  13.4675
-135.2466 	  28.3667 	 -23.7913 	  13.5227
 174.3152 	  45.5962 	 -4.4530 	 -13.2810
-134.6274 	  43.5395 	 -13.4703 	  4.6072
-126.6300 	  43.4835 	 -4.1654 	  6.1534
 136.6575 	  32.6778 	 -26.2370 	 -27.1210
 163.8954 	  48.5293 	 -53.9507 	 -17.2330
 120.1742 	 -17.1262 	 -36.7958 	 -34.8935
