data_lon 	 data_lat 	 data_v 	 model_v
 21.9089 	  43.9642 	 -4.6410 	 -12.0328
-28.8574 	 -42.5230 	  10.2500 	 -9.4571
 3.5308 	  28.4585 	  13.5300 	 -7.4827
 124.9137 	 -20.3398 	 -11.4140 	 -19.6872
-98.7698 	  24.8511 	  9.5936 	  3.8090
 140.1430 	 -16.7669 	 -20.9135 	 -19.0978
 134.1592 	  49.7440 	 -12.6020 	 -18.0672
 133.9626 	 -28.7194 	 -0.3020 	 -18.1237
 114.0722 	 -36.2766 	 -5.6760 	 -18.8231
 92.1385 	 -25.3368 	 -7.8110 	 -16.0370
-82.8231 	 -35.4212 	 -0.8350 	 -2.3434
-21.8166 	 -26.7112 	  23.6784 	 -7.7944
-64.9271 	 -57.8266 	  3.3690 	 -9.7095
-161.5729 	  54.6252 	 -40.6271 	 -10.5952
 94.0025 	  27.4170 	 -79.4430 	 -16.6406
 174.4627 	 -56.1555 	 -11.2980 	 -13.9447
-98.9753 	 -41.3746 	 -11.6750 	 -2.7861
-99.3069 	 -40.9014 	 -56.4414 	 -2.5741
 120.0257 	 -19.5089 	 -6.9200 	 -19.8369
 78.4261 	 -24.6985 	 -23.7030 	 -13.0721
 122.2786 	 -23.1812 	 -23.1806 	 -19.2792
-93.0132 	 -41.9963 	  1.0399 	 -3.3776
-21.4885 	 -56.6295 	 -1.2950 	 -12.1497
-85.6885 	 -27.3195 	 -7.4420 	  0.5348
 114.4161 	 -18.4214 	 -12.6119 	 -19.6939
 123.7485 	 -50.1750 	 -28.4220 	 -18.6679
 110.9649 	 -28.3522 	 -42.5761 	 -18.6215
-11.2816 	  51.3746 	 -4.5270 	 -11.8750
 35.9711 	 -29.8554 	  15.1739 	 -8.3746
 108.7632 	 -41.4245 	 -11.7120 	 -18.7148
 161.1387 	  42.8795 	 -10.2190 	 -14.4332
 123.0933 	 -45.4387 	 -25.4103 	 -18.7572
 2.7540 	  50.2640 	  0.9880 	 -12.3904
 63.6699 	 -29.0700 	 -13.9799 	 -11.5372
 91.4892 	  47.9536 	 -11.1580 	 -18.2521
 75.9894 	 -34.2225 	 -10.9930 	 -14.9478
 100.2997 	  53.4783 	 -73.5790 	 -18.7434
 11.2091 	  54.6321 	 -19.1110 	 -13.5862
 98.2694 	  40.3757 	 -43.6265 	 -18.2608
 133.2357 	  42.4028 	 -34.1045 	 -18.0827
-72.5440 	  22.9475 	  16.5665 	 -1.2809
 83.0986 	 -45.4667 	 -14.9720 	 -17.4854
-179.1629 	 -59.4902 	 -17.9910 	 -13.6351
 10.3922 	  11.1635 	  11.1220 	  1.3338
 60.3421 	  42.9393 	  0.7490 	 -14.8669
 107.3184 	 -45.3258 	 -0.3700 	 -18.8502
 123.9075 	 -37.4378 	 -29.1390 	 -18.6466
 138.2789 	  31.0327 	 -26.8210 	 -17.5568
-160.5093 	  33.1462 	 -5.1560 	 -3.7905
 179.7861 	  51.7091 	 -3.2530 	 -12.5399
-159.9165 	  53.2069 	 -47.6990 	 -10.0304
-113.4989 	  40.7487 	 -14.6880 	 -2.0141
-107.7237 	  49.8783 	 -38.4760 	 -5.5026
-92.3694 	  52.7453 	 -21.3490 	 -6.8798
 120.5556 	  58.0478 	 -19.1950 	 -18.6427
-16.0216 	  47.2062 	 -2.4780 	 -10.9289
 84.5149 	  42.1886 	 -18.7530 	 -17.2440
 40.5381 	 -40.9564 	 -3.6510 	 -12.5079
 47.4732 	 -44.8152 	  10.4760 	 -14.0435
-155.0729 	 -41.7563 	  4.0680 	 -5.8665
-86.5344 	 -30.6114 	 -10.5690 	 -0.3520
-102.0378 	 -28.5693 	 -0.7510 	  2.6196
-73.6316 	 -27.1584 	 -17.0898 	 -1.7822
-51.4086 	  52.1613 	  29.6790 	 -9.4470
-9.6269 	 -32.6008 	  2.2030 	 -8.5890
-86.8105 	  33.0796 	  21.8670 	 -1.0748
-154.5155 	 -46.3249 	 -19.5490 	 -7.2966
 177.0833 	  39.9376 	  0.6990 	 -10.8600
 33.8982 	  49.4575 	 -7.0080 	 -13.9816
 38.4023 	 -43.3339 	  10.4620 	 -12.9412
-1.2673 	 -31.0031 	  19.0029 	 -8.2228
-14.1021 	 -58.3672 	  5.6720 	 -12.8232
 106.6723 	 -34.6585 	  5.2450 	 -18.4557
 117.0873 	 -31.5443 	 -8.4040 	 -18.7619
-98.7840 	 -40.9268 	 -2.7020 	 -2.6145
-4.8208 	 -50.8646 	 -0.3560 	 -12.1212
 4.5093 	 -48.4647 	 -7.1990 	 -12.1432
-46.7076 	 -44.8373 	  3.6230 	 -8.4908
 121.2326 	 -25.4243 	 -23.2850 	 -19.0531
 122.7965 	 -27.2596 	 -30.0210 	 -18.9263
 128.7826 	 -23.9549 	 -28.0890 	 -18.9917
 138.7027 	 -29.6442 	 -28.7300 	 -17.5724
 143.9810 	  28.0176 	 -34.7190 	 -16.8456
-121.4729 	  42.7859 	 -17.2600 	 -2.8968
-130.9152 	  58.9080 	 -29.8050 	 -9.1135
-160.1963 	  29.4163 	 -6.1390 	 -2.2953
-143.1097 	  24.6341 	  2.3910 	  3.8481
 174.3152 	  45.5962 	 -9.5540 	 -12.4168
-134.6274 	  43.5395 	 -4.8030 	 -3.9583
 136.6575 	  32.6778 	 -24.2633 	 -17.7744
 120.1742 	 -17.1262 	 -14.0885 	 -20.4833
